d,num_samples,sample_size_per_condition,percent_ns,mean_1,mean_2,sd,true_d,sig_counter,mean_d_sigonly,mean_d_sig_percent,mean_d_all
0.23,20000,200,0,100,103.45,15,0.23000000000000018,12536,0.28935960106075725,0.28935960106075725,0.22875258496270987
0.24,20000,200,0,100,103.6,15,0.23999999999999963,13378,0.29514231717597256,0.29514231717597256,0.24044029874846107
0.25,20000,200,0,100,103.75,15,0.25,14022,0.2992351603504496,0.2992351603504496,0.24952235478698795
0.26,20000,200,0,100,103.9,15,0.2600000000000004,14890,0.30539172010189586,0.30539172010189586,0.26225096150427996
0.27,20000,200,0,100,104.05,15,0.2699999999999998,15503,0.31090552577715086,0.31090552577715086,0.2721520840260921
0.28,20000,200,0,100,104.2,15,0.2800000000000002,15918,0.3166826429668226,0.3166826429668226,0.2806444898853949
0.29,20000,200,0,100,104.35,15,0.28999999999999965,16514,0.3220917157631251,0.3220917157631251,0.29082735619121913
0.3,20000,200,0,100,104.5,15,0.3,16958,0.32842160547758764,0.32842160547758764,0.3003418270990368
0.31,20000,200,0,100,104.65,15,0.3100000000000004,17304,0.33556767678732363,0.33556767678732363,0.3099501271871624
0.32,20000,200,0,100,104.8,15,0.3199999999999998,17740,0.3411697010408586,0.3411697010408586,0.31954283892270924
0.33,20000,200,0,100,104.95,15,0.3300000000000002,18214,0.34880432911089987,0.34880432911089987,0.33102103821893897
0.34,20000,200,0,100,105.1,15,0.33999999999999964,18449,0.3561001520894319,0.3561001520894319,0.3404451788347386
0.35000000000000003,20000,200,0,100,105.25,15,0.35,18725,0.3644889689964431,0.3644889689964431,0.3509884709273389
0.36,20000,200,0,100,105.4,15,0.3600000000000004,18975,0.37199116457992976,0.37199116457992976,0.36092037449408254
0.37,20000,200,0,100,105.55,15,0.36999999999999983,19192,0.38157281688230316,0.38157281688230316,0.3723912988326335
0.38,20000,200,0,100,105.7,15,0.38000000000000017,19325,0.3881910959229381,0.3881910959229381,0.38042863045198877
0.39,20000,200,0,100,105.85,15,0.3899999999999996,19429,0.3973283240778427,0.3973283240778427,0.3904944298468039
0.4,20000,200,0,100,106,15,0.4,19572,0.40534880272646406,0.40534880272646406,0.4001179410481916
0.41000000000000003,20000,200,0,100,106.15,15,0.41000000000000036,19660,0.41473631011481865,0.41473631011481865,0.4104597140973297
0.42,20000,200,0,100,106.3,15,0.4199999999999998,19737,0.4234526611892953,0.4234526611892953,0.4200597730495788
0.43,20000,200,0,100,106.45,15,0.4300000000000002,19797,0.4320849188099335,0.4320849188099335,0.4293264503868952
0.44,20000,200,0,100,106.6,15,0.4399999999999996,19846,0.4431939753796941,0.4431939753796941,0.4410618848259918
0.45,20000,200,0,100,106.75,15,0.45,19883,0.4524439034686646,0.4524439034686646,0.45077535600970187
0.46,20000,200,0,100,106.9,15,0.46000000000000035,19915,0.4616287240610426,0.4616287240610426,0.46034076738276863
